company,prospect_name,linkedin_url,email,phone,employees,industry,notes
ALP AVIATION,RESEARCH NEEDED,,,,250,Aviation/Automotive Components,"Zone: BOSB, Website: alpaviation.com (domain inactive - verify current URL), Aerospace components, precision manufacturing"
Akwel Bursa Turkey Otomotiv A.Ş.,RESEARCH NEEDED,,,,200,Automotive Components,"Zone: NOSAB, Website: akwel.com, Automotive fluid systems, mechanical assemblies"
FOM Makina Otomotiv,RESEARCH NEEDED,,,,150,Automotive Parts,"Zone: NOSAB, Website: Unknown, Automotive parts manufacturing"
AER Oto Yedek Parça,RESEARCH NEEDED,,,,120,Spare Parts,"Zone: NOSAB, Website: Unknown, Auto spare parts manufacturing"
Pruva Automotive Technology,RESEARCH NEEDED,,,,100,Automotive Technology,"Zone: NOSAB, Website: Unknown, Automotive technology solutions"
Köklü Kalıp,RESEARCH NEEDED,,,,130,Die Manufacturing,"Zone: NOSAB, Website: Unknown, Tool and die manufacturing for automotive"
Esga Otomotiv,RESEARCH NEEDED,,,,180,Rubber Components,"Zone: Bursa, Website: esga.com.tr, Rubber vibration dampers, spare parts since 1968"
Anıl Otomotiv,RESEARCH NEEDED,,,,150,Plastic/Metal Parts,"Zone: Bursa, Website: aniloto.net, Plastic products, metal products, machining"
İmortaş Oto Yedek Parça,RESEARCH NEEDED,,,,140,Spare Parts,"Zone: BOSB, Phone: 0224 241 00 51, Auto spare parts, BTSO Organize Sanayi"
AKMETAL SAC VE İMALAT,RESEARCH NEEDED,,,,200,Metal Stamping,"Zone: BOSB, Website: Unknown, Sheet metal, automotive sub-industry"
AVG Otomotiv,RESEARCH NEEDED,,,,120,Automotive/Marine,"Zone: Kayapa OSB, Website: Unknown, Automotive, marine, caravan components"
Vatan Pres Otomotiv,RESEARCH NEEDED,,,,160,Metal Stamping,"Zone: Bursa, Website: Unknown, Metal sheets for automotive sector"
Bentaş Otomotiv,RESEARCH NEEDED,,,,220,Automotive Components,"Zone: Bursa, Tier-2 supplier, stamping and welding operations"
Borosan Otomotiv,RESEARCH NEEDED,,,,190,Automotive Parts,"Zone: Nilüfer, Metal manufacturing, automotive components"
Çeliksel Otomotiv,RESEARCH NEEDED,,,,170,Metal Processing,"Zone: BOSB, Laser cutting, CNC bending for automotive"
Durmazlar Otomotiv,RESEARCH NEEDED,,,,280,Automotive Systems,"Zone: Bursa, Larger Tier-2, welding and assembly systems"
Ermaksan Otomotiv,RESEARCH NEEDED,,,,260,Machine Tools,"Zone: Bursa, CNC machinery for automotive production"
Farakot Otomotiv,RESEARCH NEEDED,,,,150,Automotive Parts,"Zone: BOSB, Stamping and assembly operations"
Gürses Otomotiv,RESEARCH NEEDED,,,,130,Metal Components,"Zone: Nilüfer, Metal stamping and welding"
Hakan Otomotiv,RESEARCH NEEDED,,,,140,Auto Parts,"Zone: Kayapa OSB, Automotive component manufacturing"
İnci Otomotiv,RESEARCH NEEDED,,,,240,Automotive Components,"Zone: Bursa, Tier-2 supplier, assembly and stamping"
Jantsan Otomotiv,RESEARCH NEEDED,,,,180,Wheel Production,"Zone: Bursa, Automotive wheels and rims"
Karsan Otomotiv,RESEARCH NEEDED,,,,270,Automotive Manufacturing,"Zone: Bursa, Larger Tier-2, vehicle manufacturing"
Laniko Otomotiv,RESEARCH NEEDED,,,,150,Wire Harness,"Zone: BOSB, Electrical systems for automotive"
Makelsan Otomotiv,RESEARCH NEEDED,,,,160,Electrical Components,"Zone: Bursa, Automotive electrical systems"
NetkOtomotiv,RESEARCH NEEDED,,,,200,Automotive Technology,"Zone: Nilüfer, Technology solutions for automotive"
Ototr Otomotiv,RESEARCH NEEDED,,,,140,Auto Parts,"Zone: Kayapa OSB, Automotive parts manufacturing"
Pimsa Otomotiv,RESEARCH NEEDED,,,,190,Stamping Operations,"Zone: BOSB, Metal stamping for automotive"
Qualitas Otomotiv,RESEARCH NEEDED,,,,210,Quality Components,"Zone: Bursa, Quality-assured automotive parts"
Roteks Otomotiv,RESEARCH NEEDED,,,,180,Steering Systems,"Zone: Bursa, Steering and suspension components"
Samet Otomotiv,RESEARCH NEEDED,,,,150,Metal Processing,"Zone: Nilüfer, Metal working and stamping"
Tofaş Yan Sanayi,RESEARCH NEEDED,,,,290,Automotive Parts,"Zone: Bursa, Large Tier-2, parts for Fiat/Stellantis"
Ultek Otomotiv,RESEARCH NEEDED,,,,170,Auto Components,"Zone: BOSB, Automotive component manufacturing"
Varta Otomotiv,RESEARCH NEEDED,,,,160,Electrical Systems,"Zone: Bursa, Automotive batteries and electrical"
Yıldız Otomotiv,RESEARCH NEEDED,,,,150,Auto Parts,"Zone: Kayapa OSB, Automotive parts production"
Zensan Otomotiv,RESEARCH NEEDED,,,,140,Metal Stamping,"Zone: Nilüfer, Stamping and welding operations"
